市场,代码,名称,流通股本,地区,行业,更新日期,上市日期,总股本,国家股,发起人法人股,法人股,B股,H股,职工股,总资产,流动资产,固定资产,无形资产,股东人数,流动负债,长期负债,资本公积金,净资产,主营收入,主营利润,应收账款,营业利润,投资收益,经营现金流,总现金流,存货,利润总和,税后利润,净利润,未分配利润,每股净资产,baoliu2
0,000001,平安银行,16917990000.0,深圳,1,20171021,19910403,17170411250.0,1801990000.0,1.8719e+11,8.1968e+11,0.0,0.0,1059.99994278,3.13748096e+12,0.0,7883000000.0,4580000000.0,331474.0,0.0,0.0,56465000000.0,2.18111008e+11,79833000000.0,0.0,0.0,25000000000.0,644000000.0,-1.57987008e+11,-1.05186008e+11,0.0,24939000000.0,19153000000.0,19153000000.0,79709000000.0,11.5399999619,9.0
0,000002,万 科Ａ,9709165000.0,深圳,11,20171027,19910129,11039152500.0,1901010000.0,82623810000.0,1.170548e+12,0.0,1314955468.75,0.0,1.018382016e+12,8.99748864e+11,6857390500.0,1412466250.0,208975.0,7.43441024e+11,51352016000.0,9059156000.0,1.16373272e+11,1.17100496e+11,79943368000.0,1302107750.0,20687676000.0,3387117750.0,16706238000.0,7612964000.0,5.50572736e+11,20901592000.0,14816528000.0,11091001000.0,63570340000.0,0.0,9.0
0,000004,国农科技,82963701.1719,深圳,34,20171027,19910114,83976699.2188,1285010000.0,146985302.734,2175676562.5,0.0,0.0,0.0,241210703.125,154113500.0,31217699.2188,23920300.7812,12388.0,60780601.5625,54603199.2188,664899.963379,115388203.125,70997703.125,35232101.5625,4110799.80469,-8446299.80469,0.0,4414399.90234,17178000.0,11733599.6094,-8189199.70703,-8208299.80469,-5434199.70703,19680099.6094,0.0,9.0
0,000005,世纪星源,951222421.875,深圳,11,20171031,19901210,1058536875.0,1905010000.0,1337693750.0,3504968750.0,0.0,0.0,0.0,2792868500.0,1211581125.0,39974199.2188,34301597.6562,131496.0,1317550125.0,77953500.0,638052312.5,1266307250.0,314227125.0,220390390.625,107353093.75,-9649299.80469,-1307199.95117,-284026593.75,-17096300.7812,609178500.0,-3479100.09766,-11073900.3906,-16213299.8047,-477328000.0,0.0,9.0
0,000006,深振业Ａ,1345169218.75,深圳,11,20171028,19920427,1349995000.0,1901010000.0,1144828593.75,11457057500.0,0.0,0.0,0.0,13222691000.0,11168786000.0,2961500.0,0.0,80457.0,6733394500.0,139207687.5,484321593.75,5101275500.0,2319261000.0,1612449500.0,6137299.80469,470112687.5,16152299.8047,1078657500.0,1098660500.0,6904449000.0,469373281.25,353606500.0,339136812.5,2008250625.0,4.11000013351,9.0
0,000007,全新好,308948007.812,深圳,10,20171031,19920413,346448007.812,2032010000.0,173877792.969,282209394.531,0.0,0.0,0.0,431421812.5,194067312.5,81152796.875,340700.012207,14453.0,47286402.3438,3336799.80469,157024093.75,380798500.0,34059898.4375,11348199.2188,48099.9984741,-5421299.80469,39998898.4375,-6526299.80469,-33706101.5625,113199.996948,-5736299.80469,-1185300.04883,10327900.3906,-131672500.0,0.0,9.0
0,000008,神州高铁,2011042812.5,北京,8,20171227,19920507,2818329687.5,1275010000.0,2168979531.25,10073293125.0,0.0,0.0,0.0,9471992000.0,5019608000.0,218864093.75,189292500.0,64328.0,3091072000.0,73411398.4375,2884517250.0,6243511000.0,979140625.0,488960000.0,1809724375.0,151574703.125,35547101.5625,-293316500.0,-39681500.0,888037500.0,167137890.625,134564703.125,121924601.562,762639000.0,0.0,9.0
0,000009,中国宝安,2120089062.5,深圳,25,20171028,19910625,2149345000.0,220000.0,2103654687.5,41890337500.0,0.0,0.0,0.0,26621782000.0,18512908000.0,3658822500.0,1052060625.0,187770.0,10081573000.0,5440185500.0,316969906.25,4650215500.0,4873115500.0,3188548000.0,2014836250.0,419148781.25,182545390.625,48029800.7812,2168124750.0,8568002000.0,464478718.75,370590593.75,180479000.0,1850140625.0,0.0,9.0
0,000010,美丽生态,522171484.375,深圳,21,20171028,19951027,819854687.5,1401990000.0,219468691.406,7080318750.0,0.0,0.0,0.0,4090477250.0,3007369000.0,64560898.4375,11912800.7812,54225.0,1818539750.0,25617199.2188,1495371500.0,2228342000.0,639998687.5,450111812.5,321210375.0,28774699.2188,23220400.3906,583444625.0,40390398.4375,2010079750.0,27894000.0,11966400.3906,12686299.8047,-98870398.4375,0.0,9.0
0,000011,深物业A,175862597.656,深圳,11,20171031,19920330,595979101.562,1901010000.0,-72024902.3438,5297186875.0,67605200.1953,0.0,0.0,5447556000.0,4551631000.0,29328701.1719,0.0,41264.0,2512040250.0,862000.0,119951500.0,2878877000.0,2652727750.0,1420061250.0,45864300.7812,752351000.0,1892400.02441,-354782812.5,-366981812.5,1791881875.0,747640062.5,576166625.0,576166625.0,1910522500.0,0.0,9.0
0,000012,南 玻Ａ,1509403437.5,深圳,48,20171222,19920228,2484147500.0,1261200000.0,7148993125.0,65221420000.0,876971562.5,0.0,330.000013113,18913832000.0,4157557250.0,11780940000.0,1041511125.0,159735.0,6811414000.0,328669625.0,983779000.0,8345605500.0,7790908000.0,5829092500.0,758405312.5,799550250.0,427599.975586,1788098750.0,1228209000.0,699223500.0,861734500.0,721822250.0,711011312.5,4080427500.0,3.49699997902,9.0
0,000014,沙河股份,201705195.312,深圳,11,20171031,19920602,201705195.312,1901010000.0,-175362207.031,1718404375.0,0.0,0.0,0.0,1516259000.0,1341208125.0,18518500.0,393800.018311,21474.0,568074625.0,57305296.875,9965799.80469,737629000.0,428409312.5,362018500.0,902099.975586,-5260300.29297,0.0,365893281.25,-92132101.5625,1091746750.0,8096400.39062,5772899.90234,4446799.80469,307352125.0,0.0,9.0
0,000016,深康佳Ａ,1596574375.0,深圳,23,20171028,19920327,2407945468.75,1276200000.0,-443309609.375,1.4617241e+11,811351562.5,0.0,0.0,23001138000.0,18273952000.0,1634393500.0,202318406.25,88589.0,19136348000.0,442073093.75,89757406.25,3044154750.0,20163618000.0,18033040000.0,2586118750.0,452700.012207,175753500.0,-3562577750.0,567121000.0,7526402000.0,147283000.0,134814703.125,128845703.125,-298317500.0,0.0,9.0
0,000017,深中华A,302980292.969,深圳,32,20171027,19920331,551347890.625,1275150000.0,20805700.6836,1199495937.5,248363007.812,0.0,0.0,62394703.125,55416000.0,3497800.04883,2447199.95117,52397.0,46725699.2188,2663800.04883,627834312.5,13005099.6094,95516796.875,88806101.5625,24516298.8281,-2001600.09766,0.0,-6339399.90234,-6939099.60938,8568799.80469,-1601099.97559,-1612700.07324,-1363500.0,-1198850250.0,0.0,9.0
0,000018,神州长城,753766328.125,深圳,21,20171028,19920616,1698245000.0,1405010000.0,3031659687.5,32335972500.0,263803203.125,0.0,0.0,10495996000.0,9394659000.0,140014093.75,126422695.312,73285.0,7460308000.0,69030601.5625,-1303572000.0,2042777625.0,4685207500.0,3657257250.0,5072794000.0,500815593.75,0.0,-785444312.5,224394000.0,426746718.75,505015125.0,423913281.25,410460781.25,1464370125.0,0.0,9.0
0,000019,深深宝Ａ,415964609.375,深圳,14,20171025,19921012,496782304.688,1205100000.0,-275590097.656,2263875625.0,51749301.7578,0.0,0.0,1132336750.0,578448062.5,318706500.0,191539000.0,73914.0,125203500.0,19021300.7812,367172000.0,974272000.0,230746703.125,175967312.5,96155093.75,-30767599.6094,1830599.97559,-63557898.4375,-139880296.875,166696890.625,-31031398.4375,-30759199.2188,-26388898.4375,55581203.125,0.0,9.0
0,000020,深华发Ａ,181165390.625,深圳,35,20171031,19920428,283161191.406,1251150000.0,45093701.1719,4569334375.0,101995800.781,0.0,0.0,688145625.0,413667312.5,77771500.0,43757300.7812,24634.0,367854500.0,0.0,146587203.125,320046906.25,672361000.0,611011937.5,219580703.125,-1512899.90234,0.0,-15859699.2188,-29650800.7812,54065898.4375,1483500.0,348300.018311,348300.018311,-187093109.375,0.0,9.0
0,000021,深科技,1469270781.25,深圳,24,20171031,19940202,1471259375.0,1683100000.0,3035331562.5,1.0570534e+11,0.0,0.0,0.0,16790542000.0,11998422000.0,2361794500.0,154990406.25,109095.0,10722831000.0,58963796.875,678232562.5,5810612000.0,10725552000.0,10058681000.0,2095939250.0,590581000.0,128894500.0,433836812.5,162638000.0,1314876500.0,601824687.5,488579500.0,469006218.75,2164134500.0,0.0,9.0
0,000022,深赤湾Ａ,464866093.75,深圳,8,20171030,19930505,644763710.938,1511050000.0,4247857500.0,17754347500.0,179539296.875,0.0,0.0,8062136000.0,1313499375.0,3724875500.0,1361773500.0,35853.0,789684687.5,1882929250.0,167480296.875,4864343000.0,1862912375.0,1045402250.0,357777812.5,725557812.5,56687101.5625,916388437.5,274602500.0,26445601.5625,728360937.5,612925687.5,440423406.25,3498499000.0,0.0,9.0
0,000023,深天地Ａ,138756201.172,深圳,21,20171026,19930429,138756201.172,1401990000.0,82677900.3906,7240061875.0,0.0,0.0,0.0,1857305125.0,1664399000.0,137380703.125,5167000.0,11983.0,1346342500.0,68094000.0,102532304.688,415805593.75,862442500.0,766488000.0,701906500.0,24940701.1719,66900.0015259,205193203.125,119935593.75,483620906.25,47073500.0,33596500.0,33849097.6562,125406601.562,0.0,9.0
